name,Text,required_level,Enchant_pos
Enchantment Detonate Dead Area Of Effect 1,16% increased Detonate Dead Area of Effect,66,h
Enchantment Detonate Dead Area Of Effect 2,24% increased Detonate Dead Area of Effect,75,h
Enchantment Devouring Totem Leech Per Second 1,24% increased Devouring Totem Leech per second,66,h
Enchantment Devouring Totem Leech Per Second 2,36% increased Devouring Totem Leech per second,75,h
Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 1,Devouring Totem has 40% Chance to Consume an additional corpse,66,h
Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 2,Devouring Totem has 60% Chance to Consume an additional corpse,75,h
Enchantment Discharge Radius 1,Discharge has +3 to Radius,66,h
Enchantment Discharge Radius 2,Discharge has +5 to Radius,75,h
Enchantment Discharge Consume Charges 1,20% chance for Discharge to deal Damage without removing Charges,66,h
Enchantment Discharge Consume Charges 2,30% chance for Discharge to deal Damage without removing Charges,75,h
Enchantment Discharge Damage 1,25% increased Discharge Damage,66,h
Enchantment Discharge Damage 2,40% increased Discharge Damage,75,h
Enchantment Discipline Mana Reservation 1,Discipline has 30% increased Mana Reservation Efficiency,66,h
Enchantment Discipline Mana Reservation 2,Discipline has 45% increased Mana Reservation Efficiency,75,h
Enchantment Divine Ire Beam Width 1,Divine Ire's beam has 10% increased width,66,h
Enchantment Divine Ire Beam Width 2,Divine Ire's beam has 15% increased width,75,h
Enchantment Divine Ire Damage 1,Divine Ire deals 25% increased Damage,66,h
Enchantment Divine Ire Damage 2,Divine Ire deals 40% increased Damage,75,h
Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 1,Divine Ire Damages an additional nearby Enemy when gaining Stages,66,h
Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 2,Divine Ire Damages 2 additional nearby Enemies when gaining Stages,75,h
Enchantment Dominating Blow Additional Magic 1,Dominating Blow can summon 2 additional Magic Sentinels of Dominance,66,h
Enchantment Dominating Blow Additional Magic 2,Dominating Blow can summon 3 additional Magic Sentinels of Dominance,75,h
Enchantment Dominating Blow Additional Rare 1,Dominating Blow can summon an additional Rare Sentinel of Dominance,75,h
Enchantment Dominating Blow Duration 1,20% increased Sentinel of Dominance Duration,66,h
Enchantment Dominating Blow Duration 2,30% increased Sentinel of Dominance Duration,75,h
Enchantment Double Slash Added Phys To Bleeding 1,Lacerate deals (4-8) to (10-15) added Physical Damage against Bleeding Enemies,66,h
Enchantment Double Slash Added Phys To Bleeding 2,Lacerate deals (14-18) to (20-25) added Physical Damage against Bleeding Enemies,75,h
Enchantment Double Slash Critical Strikes 1,40% increased Lacerate Critical Strike Chance,66,h
Enchantment Double Slash Critical Strikes 2,60% increased Lacerate Critical Strike Chance,75,h
Enchantment Lacerate Damage 1,25% increased Lacerate Damage,66,h
Enchantment Lacerate Damage 2,40% increased Lacerate Damage,75,h
Enchantment Double Slash Area Of Effect 1,16% increased Lacerate Area of Effect,66,h
Enchantment Double Slash Area Of Effect 2,24% increased Lacerate Area of Effect,75,h
Enchantment Double Strike Attack Speed 1,10% increased Double Strike Attack Speed,66,h
Enchantment Double Strike Attack Speed 2,15% increased Double Strike Attack Speed,75,h
Enchantment Double Strike Critical Strike Chance 1,60% increased Double Strike Critical Strike Chance,66,h
Enchantment Double Strike Critical Strike Chance 2,90% increased Double Strike Critical Strike Chance,75,h
Enchantment Double Strike Damage 1,25% increased Double Strike Damage,66,h
Enchantment Double Strike Damage 2,40% increased Double Strike Damage,75,h
Enchantment Double Strike Double Damage Vs Bleeding 1,Double Strike has a 10% chance to deal Double Damage to Bleeding Enemies,66,h
Enchantment Double Strike Double Damage Vs Bleeding 2,Double Strike has a 15% chance to deal Double Damage to Bleeding Enemies,75,h
Enchantment Dread Banner Effect 1,Dread Banner has 25% increased Aura Effect,66,h
Enchantment Dread Banner Effect 2,Dread Banner has 40% increased Aura Effect,75,h
Enchantment Dual Strike Attack Speed 1,10% increased Dual Strike Attack Speed,66,h
Enchantment Dual Strike Attack Speed 2,15% increased Dual Strike Attack Speed,75,h
Enchantment Dual Strike Critical Strike Chance 1,60% increased Dual Strike Critical Strike Chance,66,h
Enchantment Dual Strike Critical Strike Chance 2,90% increased Dual Strike Critical Strike Chance,75,h
Enchantment Dual Strike Damage 1,25% increased Dual Strike Damage,66,h
Enchantment Dual Strike Damage 2,40% increased Dual Strike Damage,75,h
Enchantment Earthquake Damage 1,25% increased Earthquake Damage,66,h
Enchantment Earthquake Damage 2,40% increased Earthquake Damage,75,h
Enchantment Earthquake Damage per 0.1s Duration 1,Earthquake deals 5% increased Damage per 0.1 seconds Duration,66,h
Enchantment Earthquake Damage per 0.1s Duration 2,Earthquake deals 8% increased Damage per 0.1 seconds Duration,75,h
Enchantment Earthquake Area Of Effect 1,16% increased Earthquake Area of Effect,66,h
Enchantment Earthquake Area Of Effect 2,24% increased Earthquake Area of Effect,75,h
Enchantment Earthshatter Damage 1,Earthshatter deals 25% increased Damage,66,h
Enchantment Earthshatter Damage 2,Earthshatter deals 40% increased Damage,75,h
Enchantment Earthshatter Radius 1,Earthshatter has 16% increased Area of Effect,66,h
Enchantment Earthshatter Radius 2,Earthshatter has 24% increased Area of Effect,75,h
Enchantment Earthshatter Additional Spike 1,Earthshatter creates +1 fissures,75,h
Enchantment Elemental Hit Attack Speed 1,10% increased Elemental Hit Attack Speed,66,h
Enchantment Elemental Hit Attack Speed 2,15% increased Elemental Hit Attack Speed,75,h
Enchantment Elemental Hit Chance To Freeze Shock Ignite 1,"Elemental Hit has +20% chance to Freeze, Shock and Ignite",66,h
Enchantment Elemental Hit Chance To Freeze Shock Ignite 2,"Elemental Hit has +30% chance to Freeze, Shock and Ignite",75,h
Enchantment Elemental Hit Damage 1,Elemental Hit deals 25% increased Damage,66,h
Enchantment Elemental Hit Damage 2,Elemental Hit deals 40% increased Damage,75,h
Enchantment Elemental Weakness Curse Effect 1,10% increased Elemental Weakness Curse Effect,66,h
Enchantment Elemental Weakness Curse Effect 2,15% increased Elemental Weakness Curse Effect,75,h
Enchantment Elemental Weakness Duration 1,30% increased Elemental Weakness Duration,66,h
Enchantment Elemental Weakness Duration 2,45% increased Elemental Weakness Duration,75,h
Enchantment Enduring Cry Additional Endurance Charge 1,Enduring Cry grants 1 additional Endurance Charge,75,h
Enchantment Enduring Cry Cooldown Speed 1,Enduring Cry has 20% increased Cooldown Recovery Rate,66,h
Enchantment Enduring Cry Cooldown Speed 2,Enduring Cry has 30% increased Cooldown Recovery Rate,75,h
Enchantment Energy Blade Attack Speed 1,Energy Blades have 10% increased Attack Speed,66,h
Enchantment Energy Blade Attack Speed 2,Energy Blades have 15% increased Attack Speed,75,h
Enchantment Energy Blade Lightning Penetration 1,Attacks with Energy Blades Penetrate 8% Lightning Resistance,66,h
Enchantment Energy Blade Lightning Penetration 2,Attacks with Energy Blades Penetrate 12% Lightning Resistance,75,h
Enchantment Enfeeble Curse Effect 1,10% increased Enfeeble Curse Effect,66,h
Enchantment Enfeeble Curse Effect 2,15% increased Enfeeble Curse Effect,75,h
Enchantment Enfeeble Duration 1,30% increased Enfeeble Duration,66,h
Enchantment Enfeeble Duration 2,45% increased Enfeeble Duration,75,h
Enchantment Ensnaring Arrow Area Of Effect 1,Ensnaring Arrow has 60% increased Area of Effect,66,h
Enchantment Ensnaring Arrow Area Of Effect 2,Ensnaring Arrow has 90% increased Area of Effect,75,h
Enchantment Ensnaring Arrow Debuff Effect 1,Ensnaring Arrow has 20% increased Debuff Effect,66,h
Enchantment Ensnaring Arrow Debuff Effect 2,Ensnaring Arrow has 30% increased Debuff Effect,75,h
Enchantment Essence Drain Damage 1,25% increased Essence Drain Damage,66,h
Enchantment Essence Drain Damage 2,40% increased Essence Drain Damage,75,h
Enchantment Essence Drain Duration 1,20% increased Essence Drain Duration,66,h
Enchantment Essence Drain Duration 2,30% increased Essence Drain Duration,75,h
Enchantment Ethereal Knives Damage 1,25% increased Ethereal Knives Damage,66,h
Enchantment Ethereal Knives Damage 2,40% increased Ethereal Knives Damage,75,h
Enchantment Ethereal Knives Projectiles Fire in Circle 1,Ethereal Knives fires Projectiles in a circle,75,h
Enchantment Ethereal Knives Projectile Speed 1,20% increased Ethereal Knives Projectile Speed,66,h
Enchantment Ethereal Knives Projectile Speed 2,30% increased Ethereal Knives Projectile Speed,75,h
Enchantment Explosive Arrow Attack Speed 1,Explosive Arrow has 10% increased Attack Speed,66,h
Enchantment Explosive Arrow Attack Speed 2,Explosive Arrow has 15% increased Attack Speed,75,h
Enchantment Explosive Arrow Damage 1,Explosive Arrow deals 25% increased Damage,66,h
Enchantment Explosive Arrow Damage 2,Explosive Arrow deals 40% increased Damage,75,h
Enchantment Explosive Arrow Increased Duration 1,Explosive Arrow has 25% increased Duration,66,h
Enchantment Explosive Arrow Increased Duration 2,Explosive Arrow has 40% increased Duration,75,h
Enchantment Explosive Arrow Area Of Effect 1,Explosive Arrow has 16% increased Area of Effect,66,h
Enchantment Explosive Arrow Area Of Effect 2,Explosive Arrow has 24% increased Area of Effect,75,h
Enchantment Explosive Arrow Reduced Duration 1,Explosive Arrow has 20% reduced Duration,66,h
Enchantment Explosive Arrow Reduced Duration 2,Explosive Arrow has 30% reduced Duration,75,h
Enchantment Explosive Concoction Flask Charges 1,Explosive Concoction uses 8% reduced Flask Charges,66,h
Enchantment Explosive Concoction Flask Charges 2,Explosive Concoction uses 12% reduced Flask Charges,75,h
Enchantment Explosive Concoction Damage 1,25% increased Explosive Concoction Damage,66,h
Enchantment Explosive Concoction Damage 2,40% increased Explosive Concoction Damage,75,h
Enchantment Explosive Concoction Area Of Effect 1,16% increased Explosive Concoction Area of Effect,66,h
Enchantment Explosive Concoction Area Of Effect 2,24% increased Explosive Concoction Area of Effect,75,h
Enchantment Exsanguinate Additional Chain Chance 1,Exsanguinate has a 25% chance to Chain an additional time,75,h
Enchantment Exsanguinate Damage 1,Exsanguinate deals 25% increased Damage,66,h
Enchantment Exsanguinate Damage 2,Exsanguinate deals 40% increased Damage,75,h
Enchantment Exsanguinate Duration 1,20% increased Exsanguinate Duration,66,h
Enchantment Exsanguinate Duration 2,30% increased Exsanguinate Duration,75,h
Enchantment Eye of Winter Damage 1,25% increased Eye of Winter Damage,66,h
Enchantment Eye of Winter Damage 2,40% increased Eye of Winter Damage,75,h
Enchantment Eye of Winter Projectile Speed 1,20% increased Eye of Winter Projectile Speed,66,h
Enchantment Eye of Winter Projectile Speed 2,30% increased Eye of Winter Projectile Speed,75,h
Enchantment Eye of Winter Shard Frequency 1,Eye of Winter fires Shard projectiles with 8% increased Frequency during flight,66,h
Enchantment Eye of Winter Shard Frequency 2,Eye of Winter fires Shard projectiles with 12% increased Frequency during flight,75,h
Enchantment Fireball Cast Speed 1,8% increased Fireball Cast Speed,66,h
Enchantment Fireball Cast Speed 2,12% increased Fireball Cast Speed,75,h
Enchantment Fireball Damage 1,25% increased Fireball Damage,66,h
Enchantment Fireball Damage 2,40% increased Fireball Damage,75,h
Enchantment Fireball Ignite Chance 1,Fireball has +20% chance to Ignite,66,h
Enchantment Fireball Ignite Chance 2,Fireball has +30% chance to Ignite,75,h
Enchantment Fire Beam Cast Speed 1,8% increased Scorching Ray Cast Speed,66,h
Enchantment Fire Beam Cast Speed 2,12% increased Scorching Ray Cast Speed,75,h
Enchantment Scorching Ray Damage 1,25% increased Scorching Ray Damage,66,h
Enchantment Scorching Ray Damage 2,40% increased Scorching Ray Damage,75,h
Enchantment Fire Beam Length 1,10% increased Scorching Ray beam length,66,h
Enchantment Fire Beam Length 2,15% increased Scorching Ray beam length,75,h
Enchantment Firestorm Damage 1,25% increased Firestorm Damage,66,h
Enchantment Firestorm Damage 2,40% increased Firestorm Damage,75,h
Enchantment Firestorm Duration 1,20% increased Firestorm Duration,66,h
Enchantment Firestorm Duration 2,30% increased Firestorm Duration,75,h
Enchantment Firestorm Explosion Area Of Effect 1,16% increased Firestorm explosion Area of Effect,66,h
Enchantment Firestorm Explosion Area Of Effect 2,24% increased Firestorm explosion Area of Effect,75,h
Enchantment Fire Trap Burning Damage 1,40% increased Fire Trap Burning Damage,66,h
Enchantment Fire Trap Burning Damage 2,60% increased Fire Trap Burning Damage,75,h
Enchantment Fire Trap Burning Ground Duration 1,30% increased Fire Trap Burning Ground Duration,66,h
Enchantment Fire Trap Burning Ground Duration 2,45% increased Fire Trap Burning Ground Duration,75,h
Enchantment Fire Trap Damage 1,25% increased Fire Trap Damage,66,h
Enchantment Fire Trap Damage 2,40% increased Fire Trap Damage,75,h
Enchantment Flameblast Critical Strike Chance 1,60% increased Flameblast Critical Strike Chance,66,h
Enchantment Flameblast Critical Strike Chance 2,90% increased Flameblast Critical Strike Chance,75,h
Enchantment Flameblast Damage 1,25% increased Flameblast Damage,66,h
Enchantment Flameblast Damage 2,40% increased Flameblast Damage,75,h
Enchantment Flameblast Area Of Effect 1,16% increased Flameblast Area of Effect,66,h
Enchantment Flameblast Area Of Effect 2,24% increased Flameblast Area of Effect,75,h
Enchantment Flame Dash Cooldown Speed 1,Flame Dash has 20% increased Cooldown Recovery Rate,66,h
Enchantment Flame Dash Cooldown Speed 2,Flame Dash has 30% increased Cooldown Recovery Rate,75,h
Enchantment Flame Dash Damage 1,25% increased Flame Dash Damage,66,h
Enchantment Flame Dash Damage 2,40% increased Flame Dash Damage,75,h
Enchantment Flame Golem Elemental Resistances 1,+24% increased Flame Golem Elemental Resistances,66,h
Enchantment Flame Golem Elemental Resistances 2,+36% increased Flame Golem Elemental Resistances,75,h
Enchantment Flame Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Flame Golems,66,h
Enchantment Flame Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Flame Golems,75,h
Enchantment Flame Link Duration 1,20% increased Flame Link Duration,66,h
Enchantment Flame Link Duration 2,30% increased Flame Link Duration,75,h
Enchantment Flame Surge Critical Strike Chance 1,60% increased Flame Surge Critical Strike Chance,66,h
Enchantment Flame Surge Critical Strike Chance 2,90% increased Flame Surge Critical Strike Chance,75,h
Enchantment Flame Surge Damage 1,25% increased Flame Surge Damage,66,h
Enchantment Flame Surge Damage 2,40% increased Flame Surge Damage,75,h
Enchantment Flame Surge Vs Burning Enemies 1,40% increased Flame Surge Damage with Hits and Ailments against Burning Enemies,66,h
Enchantment Flame Surge Vs Burning Enemies 2,60% increased Flame Surge Damage with Hits and Ailments against Burning Enemies,75,h
Enchantment Flamethrower Additional Flamethrowers 1,Flamethrower Trap has an additional Flame,66,h
Enchantment Flamethrower Additional Flamethrowers 2,Flamethrower Trap has 2 additional Flames,75,h
Enchantment Flamethrower Trap Cooldown Speed 1,Flamethrower Trap has 10% increased Cooldown Recovery Rate,66,h
Enchantment Flamethrower Trap Cooldown Speed 2,Flamethrower Trap has 15% increased Cooldown Recovery Rate,75,h
Enchantment Flamethrower Trap Damage 1,Flamethrower Trap deals 25% increased Damage,66,h
Enchantment Flamethrower Trap Damage 2,Flamethrower Trap deals 40% increased Damage,75,h
Enchantment Flamethrower Trap Duration 1,Flamethrower Trap has 20% increased Skill Effect Duration,66,h
Enchantment Flamethrower Trap Duration 2,Flamethrower Trap has 30% increased Skill Effect Duration,75,h
Enchantment Flame Totem Consecrated Ground Enemy Damage Taken 1,Consecrated Ground from Holy Flame Totem applies 6% increased Damage taken to Enemies,66,h
Enchantment Flame Totem Consecrated Ground Enemy Damage Taken 2,Consecrated Ground from Holy Flame Totem applies 9% increased Damage taken to Enemies,75,h
Enchantment Flame Totem Damage 1,Holy Flame Totem deals 25% increased Damage,66,h
Enchantment Flame Totem Damage 2,Holy Flame Totem deals 40% increased Damage,75,h
Enchantment Flame Totem Num Of Additional Projectiles 1,Holy Flame Totem fires an additional Projectile,66,h
Enchantment Flame Totem Num Of Additional Projectiles 2,Holy Flame Totem fires 2 additional Projectiles,75,h
Enchantment Flame Totem Projectile Speed 1,Holy Flame Totem has 20% increased Projectile Speed,66,h
Enchantment Flame Totem Projectile Speed 2,Holy Flame Totem has 30% increased Projectile Speed,75,h
Enchantment Flame Wall Added Damage 1,Flame Wall grants 19 to 28 Added Fire Damage to Projectiles,66,h
Enchantment Flame Wall Added Damage 2,Flame Wall grants 31 to 47 Added Fire Damage to Projectiles,75,h
Enchantment Flame Wall Damage 1,Flame Wall deals 25% increased Damage,66,h
Enchantment Flame Wall Damage 2,Flame Wall deals 40% increased Damage,75,h
Enchantment Flame Wall Count 1,+1 to maximum number of Flame Walls,75,h
Enchantment Flammability Curse Effect 1,10% increased Flammability Curse Effect,66,h
Enchantment Flammability Curse Effect 2,15% increased Flammability Curse Effect,75,h
Enchantment Flammability Duration 1,30% increased Flammability Duration,66,h
Enchantment Flammability Duration 2,45% increased Flammability Duration,75,h
Enchantment Flesh and Stone Mana Reservation 1,Flesh and Stone has 50% increased Mana Reservation Efficiency,66,h
Enchantment Flesh and Stone Mana Reservation 2,Flesh and Stone has 75% increased Mana Reservation Efficiency,75,h
Enchantment Flesh Offering Attack Speed 1,Flesh Offering grants an additional 14% increased Attack Speed,66,h
Enchantment Flesh Offering Attack Speed 2,Flesh Offering grants an additional 21% increased Attack Speed,75,h
Enchantment Flesh Offering Duration 1,30% increased Flesh Offering Duration,66,h
Enchantment Flesh Offering Duration 2,45% increased Flesh Offering Duration,75,h
Enchantment Flicker Strike Cooldown Speed 1,Flicker Strike has 20% increased Cooldown Recovery Rate,66,h
Enchantment Flicker Strike Cooldown Speed 2,Flicker Strike has 30% increased Cooldown Recovery Rate,75,h
Enchantment Flicker Strike Damage 1,25% increased Flicker Strike Damage,66,h
Enchantment Flicker Strike Damage 2,40% increased Flicker Strike Damage,75,h
Enchantment Flicker Strike Damage Per Frenzy Charge 1,6% increased Flicker Strike Damage per Frenzy Charge,66,h
Enchantment Flicker Strike Damage Per Frenzy Charge 2,9% increased Flicker Strike Damage per Frenzy Charge,75,h
Enchantment Forbidden Rite Additional Projectile,Forbidden Rite fires an additional Projectile,75,h
Enchantment Forbidden Rite Damage 1,25% increased Forbidden Rite Damage,66,h
Enchantment Forbidden Rite Damage 2,40% increased Forbidden Rite Damage,75,h
Enchantment Forbidden Rite Projectile Speed 1,20% increased Forbidden Rite Projectile Speed,66,h
Enchantment Forbidden Rite Projectile Speed 2,30% increased Forbidden Rite Projectile Speed,75,h
Enchantment Freezing Pulse Cast Speed 1,8% increased Freezing Pulse Cast Speed,66,h
Enchantment Freezing Pulse Cast Speed 2,12% increased Freezing Pulse Cast Speed,75,h
Enchantment Freezing Pulse Damage 1,25% increased Freezing Pulse Damage,66,h
Enchantment Freezing Pulse Damage 2,40% increased Freezing Pulse Damage,75,h
Enchantment Freezing Pulse Projectile Speed 1,20% increased Freezing Pulse Projectile Speed,66,h
Enchantment Freezing Pulse Projectile Speed 2,30% increased Freezing Pulse Projectile Speed,75,h
Enchantment Frenzy Damage 1,25% increased Frenzy Damage,66,h
Enchantment Frenzy Damage 2,40% increased Frenzy Damage,75,h
Enchantment Frenzy Damage Per Frenzy Charge 1,6% increased Frenzy Damage per Frenzy Charge,66,h
Enchantment Frenzy Damage Per Frenzy Charge 2,9% increased Frenzy Damage per Frenzy Charge,75,h
Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 1,20% Chance on Frenzy to gain an additional Frenzy Charge,66,h
Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 2,30% Chance on Frenzy to gain an additional Frenzy Charge,75,h
Enchantment Frostbite Curse Effect 1,10% increased Frostbite Curse Effect,66,h
Enchantment Frostbite Curse Effect 2,15% increased Frostbite Curse Effect,75,h
Enchantment Frostbite Duration 1,30% increased Frostbite Duration,66,h
Enchantment Frostbite Duration 2,45% increased Frostbite Duration,75,h
Enchantment Frost Blades Damage 1,25% increased Frost Blades Damage,66,h
Enchantment Frost Blades Damage 2,40% increased Frost Blades Damage,75,h
Enchantment Frost Blades Projectile Speed 1,20% increased Frost Blades Projectile Speed,66,h
Enchantment Frost Blades Projectile Speed 2,30% increased Frost Blades Projectile Speed,75,h
Enchantment Frostblink Cooldown Speed 1,Frostblink has 20% increased Cooldown Recovery Rate,66,h
Enchantment Frostblink Cooldown Speed 2,Frostblink has 30% increased Cooldown Recovery Rate,75,h
Enchantment Frostblink Travel Distance 1,Frostblink has 50% increased maximum travel distance,66,h
Enchantment Frostblink Travel Distance 2,Frostblink has 75% increased maximum travel distance,75,h
Enchantment Frost Bolt Cast Speed 1,10% increased Frostbolt Cast Speed,66,h
Enchantment Frost Bolt Cast Speed 2,15% increased Frostbolt Cast Speed,75,h
Enchantment Frost Bolt Damage 1,25% increased Frostbolt Damage,66,h
Enchantment Frost Bolt Damage 2,40% increased Frostbolt Damage,75,h
Enchantment Frost Bolt Freeze Chance 1,Frostbolt has +10% chance to Freeze,66,h
Enchantment Frost Bolt Freeze Chance 2,Frostbolt has +15% chance to Freeze,75,h
Enchantment Frost Bomb Cooldown Speed 1,Frost Bomb has 20% increased Cooldown Recovery Rate,66,h
Enchantment Frost Bomb Cooldown Speed 2,Frost Bomb has 30% increased Cooldown Recovery Rate,75,h
Enchantment Frost Bomb Damage 1,25% increased Frost Bomb Damage,66,h
Enchantment Frost Bomb Damage 2,40% increased Frost Bomb Damage,75,h
Enchantment Frost Bomb Increased Duration 1,Frost Bomb has 20% increased Debuff Duration,66,h
Enchantment Frost Bomb Increased Duration 2,Frost Bomb has 30% increased Debuff Duration,75,h
Enchantment Frost Bomb Area Of Effect 1,16% increased Frost Bomb Area of Effect,66,h
Enchantment Frost Bomb Area Of Effect 2,24% increased Frost Bomb Area of Effect,75,h
Enchantment Frost Fury Additional Max Number Of Stages 1,Winter Orb has +2 Maximum Stages,75,h
Enchantment Frost Fury Area Of Effect Per Stage 1,Winter Orb has 2% increased Area of Effect per Stage,66,h
Enchantment Frost Fury Area Of Effect Per Stage 2,Winter Orb has 3% increased Area of Effect per Stage,75,h
Enchantment Frost Shield Cooldown Count 1,Frost Shield has +1 Cooldown Use,75,h
Enchantment Frost Shield Health per Stage 1,Frost Shield has +125 to maximum Life per Stage,66,h
Enchantment Frost Shield Health per Stage 2,Frost Shield has +180 to maximum Life per Stage,75,h
Enchantment Frost Wall Cooldown Speed 1,Frost Wall has 20% increased Cooldown Recovery Rate,66,h
Enchantment Frost Wall Cooldown Speed 2,Frost Wall has 30% increased Cooldown Recovery Rate,75,h
Enchantment Frost Wall Duration 1,24% increased Frost Wall Duration,66,h
Enchantment Frost Wall Duration 2,36% increased Frost Wall Duration,75,h
Enchantment Frozen Legion Additional Cooldown 1,Frozen Legion has +1 Cooldown Use,66,h
Enchantment Frozen Legion Additional Cooldown 2,Frozen Legion has +2 Cooldown Uses,75,h
Enchantment Frozen Legion Cooldown Recovery 1,Frozen Legion has 20% increased Cooldown Recovery Rate,66,h
Enchantment Frozen Legion Cooldown Recovery 2,Frozen Legion has 30% increased Cooldown Recovery Rate,75,h
Enchantment Frozen Sweep Damage 1,Frozen Sweep deals 25% increased Damage,66,h
Enchantment Galvanic Arrow Projectile Speed 1,Galvanic Arrow has 20% increased Projectile Speed,66,h
Enchantment Galvanic Arrow Projectile Speed 2,Galvanic Arrow has 30% increased Projectile Speed,75,h
Enchantment Galvanic Field Cast Speed 1,Galvanic Field has 8% increased Cast Speed,66,h
Enchantment Galvanic Field Cast Speed 2,Galvanic Field has 12% increased Cast Speed,75,h
Enchantment Galvanic Field Additional Chain 1,Galvanic Field Chains an additional time,75,h
Enchantment Galvanic Field Damage 1,Galvanic Field deals 25% increased Damage,66,h
Enchantment Galvanic Field Damage 2,Galvanic Field deals 40% increased Damage,75,h
Enchantment General's Cry Additional Mirage Warrior 1,General's Cry has +1 to maximum number of Mirage Warriors,75,h
Enchantment General's Cry Cooldown Speed 1,General's Cry has 20% increased Cooldown Recovery Rate,66,h
Enchantment General's Cry Cooldown Speed 2,General's Cry has 30% increased Cooldown Recovery Rate,75,h
Enchantment Glacial Cascade Damage 1,25% increased Glacial Cascade Damage,66,h
Enchantment Glacial Cascade Damage 2,40% increased Glacial Cascade Damage,75,h
Enchantment Glacial Cascade Physical Damage Percent To Add As Cold 1,Glacial Cascade gains 6% of Physical Damage as Extra Cold Damage,66,h
Enchantment Glacial Cascade Physical Damage Percent To Add As Cold 2,Glacial Cascade gains 10% of Physical Damage as Extra Cold Damage,75,h
Enchantment Glacial Cascade Area Of Effect 1,16% increased Glacial Cascade Area of Effect,66,h
Enchantment Glacial Cascade Area Of Effect 2,24% increased Glacial Cascade Area of Effect,75,h
Enchantment Glacial Hammer Damage 1,25% increased Glacial Hammer Damage,66,h
Enchantment Glacial Hammer Damage 2,40% increased Glacial Hammer Damage,75,h
Enchantment Glacial Hammer Freeze Chance 1,Glacial Hammer has +20% chance to Freeze,66,h
Enchantment Glacial Hammer Freeze Chance 2,Glacial Hammer has +30% chance to Freeze,75,h
Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 1,10% of Glacial Hammer Physical Damage gained as Extra Cold Damage,66,h
Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 2,15% of Glacial Hammer Physical Damage gained as Extra Cold Damage,75,h
Enchantment Grace Mana Reservation 1,Grace has 20% increased Mana Reservation Efficiency,66,h
Enchantment Grace Mana Reservation 2,Grace has 30% increased Mana Reservation Efficiency,75,h
Enchantment Ground Slam Angle 1,Ground Slam has a 16% increased angle,66,h
Enchantment Ground Slam Angle 2,Ground Slam has a 24% increased angle,75,h
Enchantment Ground Slam Damage 1,25% increased Ground Slam Damage,66,h
Enchantment Ground Slam Damage 2,40% increased Ground Slam Damage,75,h
Enchantment Ground Slam Area Of Effect 1,16% increased Ground Slam Area of Effect,66,h
Enchantment Ground Slam Area Of Effect 2,24% increased Ground Slam Area of Effect,75,h
Enchantment Haste Mana Reservation 1,Haste has 20% increased Mana Reservation Efficiency,66,h
Enchantment Haste Mana Reservation 2,Haste has 30% increased Mana Reservation Efficiency,75,h
Enchantment Hatred Mana Reservation 1,Hatred has 20% increased Mana Reservation Efficiency,66,h
Enchantment Hatred Mana Reservation 2,Hatred has 30% increased Mana Reservation Efficiency,75,h
Enchantment Heavy Strike Attack Speed 1,10% increased Heavy Strike Attack Speed,66,h
Enchantment Heavy Strike Attack Speed 2,15% increased Heavy Strike Attack Speed,75,h
Enchantment Heavy Strike Damage 1,25% increased Heavy Strike Damage,66,h
Enchantment Heavy Strike Damage 2,40% increased Heavy Strike Damage,75,h
Enchantment Heavy Strike Double Damage 1,Heavy Strike has a 8% chance to deal Double Damage,66,h
Enchantment Heavy Strike Double Damage 2,Heavy Strike has a 12% chance to deal Double Damage,75,h
Enchantment Herald Of Agony Mana Reservation 1,Herald of Agony has 50% increased Mana Reservation Efficiency,66,h
Enchantment Herald Of Agony Mana Reservation 2,Herald of Agony has 75% increased Mana Reservation Efficiency,75,h
Enchantment Herald Of Agony Num Of Secondary Projectiles 1,Summoned Agony Crawler fires 2 additional Projectiles,75,h
Enchantment Herald Of Ash Damage 1,25% increased Herald of Ash Damage,66,h
Enchantment Herald Of Ash Damage 2,40% increased Herald of Ash Damage,75,h
Enchantment Herald Of Ash Mana Reservation 1,Herald of Ash has 50% increased Mana Reservation Efficiency,66,h
Enchantment Herald Of Ash Mana Reservation 2,Herald of Ash has 75% increased Mana Reservation Efficiency,75,h
Enchantment Herald Of Ice Damage 1,25% increased Herald of Ice Damage,66,h
Enchantment Herald Of Ice Damage 2,40% increased Herald of Ice Damage,75,h
Enchantment Herald Of Ice Mana Reservation 1,Herald of Ice has 50% increased Mana Reservation Efficiency,66,h
Enchantment Herald Of Ice Mana Reservation 2,Herald of Ice has 75% increased Mana Reservation Efficiency,75,h
Enchantment Herald Of Purity Additional Minion 1,+1 to maximum number of Sentinels of Purity,75,h
Enchantment Herald Of Purity Mana Reservation 1,Herald of Purity has 50% increased Mana Reservation Efficiency,66,h
